age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,over50k,probability of yes (or score)
40, Private,171424, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States,0.0,0.2106224000453949
55, Private,186479, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1.0,0.6034004092216492
60, Private,194980, HS-grad,9, Separated, Adm-clerical, Unmarried, Black, Female,0,0,20, United-States,0.0,0.004447972401976585
46, Private,202606, HS-grad,9, Separated, Other-service, Not-in-family, Black, Female,0,0,30, Haiti,0.0,0.0014832138549536467
42, Private,188615, Some-college,10, Separated, Prof-specialty, Not-in-family, White, Male,0,2231,50, Canada,0.0,0.24912379682064056
23, Private,195508, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,0.0,0.4758894443511963
61, Private,72442, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0.0,0.321339875459671
24, Private,165054, Assoc-voc,11, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States,0.0,0.020909983664751053
29, Private,197222, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0.0,0.07147984206676483
53, Private,175220, Bachelors,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,7688,0,48, Taiwan,1.0,0.8699771165847778
25, Local-gov,307294, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,0.0,0.05847390741109848
33, Private,66384, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,38, United-States,0.0,0.18531309068202972
25, Self-emp-inc,110010, HS-grad,9, Divorced, Sales, Own-child, White, Male,0,0,40, United-States,0.0,0.026883156970143318
50, Private,254148, 5th-6th,3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico,0.0,0.03288156911730766
22, Private,198366, HS-grad,9, Married-civ-spouse, Sales, Husband, Black, Male,0,0,20, United-States,0.0,0.06607800722122192
53, Private,255927, Bachelors,13, Widowed, Adm-clerical, Unmarried, White, Female,0,0,52, United-States,0.0,0.0740119069814682
32, State-gov,479179, 11th,7, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States,0.0,0.014522463083267212
24, Private,97743, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,37, United-States,0.0,0.005187783390283585
33, Private,116294, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0.0,0.07958558201789856
50, Private,85815, Assoc-voc,11, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,38, United-States,0.0,0.10546176135540009
58, Private,143266, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0.0,0.18458586931228638
51, State-gov,42901, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States,1.0,0.8748003840446472
33, Private,198452, Bachelors,13, Separated, Tech-support, Unmarried, White, Female,5455,0,40, United-States,0.0,0.12663330137729645
27, Private,153805, Some-college,10, Never-married, Craft-repair, Unmarried, Other, Male,0,0,45, Ecuador,0.0,0.009911185130476952
26, Private,102476, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0.0,0.012841804884374142
24, Local-gov,221480, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,0.0,0.3261616826057434
49, Private,191389, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,0.0,0.02076253853738308
18, Private,39222, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States,0.0,0.004498328547924757
37, Private,114591, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States,0.0,0.09945915639400482
50, Local-gov,50048, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States,1.0,0.8340165019035339
67, Local-gov,102690, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States,1.0,0.6734485030174255
54, Private,311551, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Male,0,0,60, United-States,0.0,0.1557764708995819
41, Local-gov,98823, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1.0,0.7813917994499207
50, Private,201984, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,0.0,0.015008930116891861
23, Private,181659, 11th,7, Never-married, Craft-repair, Own-child, White, Male,0,0,60, United-States,0.0,0.016996746882796288
46, Private,203653, Bachelors,13, Divorced, Sales, Other-relative, Black, Male,0,0,40, United-States,0.0,0.03662314638495445
